phase,ticker,name,market,report_period,period_scope,sample_policy,source_universe_quality,historical_pit_universe_ready,planned_routes,expected_route_budget_per_ticker_period,budget_guard_per_ticker_period,official_asof_required,after_close_next_trading_day_policy_required,unmatched_or_ambiguous_policy,quarter_end_date_available_at_allowed,query_response_datetime_available_at_allowed,conservative_deadline_proxy_allowed_for_official_route,accepted_for_runner_execution,accepted_for_materialization,accepted_for_experiments,accepted_for_formal,diagnostic_only,not_live_rule,forward_returns_live_rule_usage,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay
phase_2_tpex_100x4_recent,4542,科嶠,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,4542,科嶠,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,4542,科嶠,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,4568,科際精密,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,4568,科際精密,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,4568,科際精密,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,4568,科際精密,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,4714,永捷,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,4714,永捷,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,4714,永捷,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,4714,永捷,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,4744,皇將,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,4744,皇將,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,4744,皇將,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,4744,皇將,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,4804,大略-KY,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,4804,大略-KY,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,4804,大略-KY,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,4804,大略-KY,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,4924,欣厚-KY,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,4924,欣厚-KY,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,4924,欣厚-KY,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,4924,欣厚-KY,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,4971,IET-KY,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,4971,IET-KY,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,4971,IET-KY,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,4971,IET-KY,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5013,強新,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5013,強新,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5013,強新,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5013,強新,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5210,寶碩,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5210,寶碩,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5210,寶碩,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5210,寶碩,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5236,凌陽創新,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5236,凌陽創新,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5236,凌陽創新,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5236,凌陽創新,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5289,宜鼎,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5289,宜鼎,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5289,宜鼎,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5289,宜鼎,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5315,光聯,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5315,光聯,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5315,光聯,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5315,光聯,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5351,鈺創,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5351,鈺創,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5351,鈺創,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5351,鈺創,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5398,慕康生醫,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5398,慕康生醫,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5398,慕康生醫,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5398,慕康生醫,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5450,南良,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5450,南良,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5450,南良,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5450,南良,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5475,德宏,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5475,德宏,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5475,德宏,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5475,德宏,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5493,三聯,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5493,三聯,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5493,三聯,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5493,三聯,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5529,鉅陞,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5529,鉅陞,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
